price,carat,city,depth,table,x,y,z,clarity,color,cut
513,0.31,Surat,61.3,55.6,4.37,4.4,2.69,VS1,I,Ideal
1549,0.52,London,61.9,55.0,5.15,5.18,3.2,VS2,G,Ideal
878,0.3,Tel Aviv,63.4,57.0,4.31,4.27,2.72,VVS1,H,Very Good
3679,1.0,Luxembourg,63.9,60.0,6.26,6.19,3.98,SI1,J,Good
13839,1.59,Surat,60.7,56.0,7.54,7.58,4.59,VS1,H,Ideal
816,0.31,Zurich,60.8,57.0,4.36,4.39,2.66,VVS2,E,Ideal
3434,0.74,Kimberly,61.2,56.0,5.82,5.85,3.57,VS2,G,Ideal
2898,0.79,Dubai,62.3,57.0,5.9,5.85,3.66,SI1,G,Ideal
776,0.3,Madrid,61.5,57.0,4.34,4.31,2.66,VVS2,H,Ideal
7887,1.33,Zurich,62.2,56.0,7.01,7.04,4.37,VVS2,I,Ideal
1342,0.58,Surat,61.2,57.0,5.36,5.4,3.29,SI2,D,Ideal
2440,0.78,London,63.7,60.0,5.77,5.73,3.66,VS2,H,Good
14456,1.65,Antwerp,60.8,56.0,7.65,7.7,4.67,VS2,G,Ideal
1975,0.55,New York City,61.2,56.4,5.28,5.33,3.25,VS1,F,Very Good
9801,1.64,Dubai,60.7,55.0,7.67,7.64,4.65,SI1,E,Ideal
658,0.3,New York City,62.5,59.0,4.27,4.3,2.68,VS2,E,Premium
1076,0.41,Paris,61.7,56.0,4.81,4.78,2.96,VS2,D,Ideal
752,0.3,Antwerp,62.4,58.0,4.26,4.3,2.67,VVS2,D,Premium
6121,1.1,Surat,59.6,60.0,6.72,6.7,4.0,VS2,G,Premium
4401,1.03,Paris,63.3,57.0,6.37,6.46,4.06,SI1,I,Ideal
416,0.3,Tel Aviv,64.8,58.0,4.24,4.16,2.72,VS2,J,Fair
4227,1.02,New York City,62.7,58.0,6.44,6.41,4.03,SI1,I,Premium
1915,0.56,London,61.8,56.0,5.31,5.28,3.27,VS2,E,Premium
4536,1.13,Surat,61.8,59.0,6.65,6.68,4.12,SI1,I,Premium
752,0.38,Kimberly,59.7,57.0,4.73,4.79,2.84,VS2,F,Very Good
5105,1.03,Antwerp,60.5,60.0,6.52,6.48,3.93,SI1,G,Premium
3715,0.9,Amsterdam,62.2,54.0,6.13,6.21,3.84,SI2,E,Very Good
499,0.3,Tel Aviv,62.2,54.2,4.31,4.34,2.69,SI1,F,Ideal
2787,0.64,Zurich,61.5,56.0,5.54,5.55,3.41,VS1,D,Ideal
3864,1.0,Antwerp,59.6,61.0,6.4,6.36,3.8,VVS2,J,Premium
3988,0.93,Antwerp,62.8,56.0,6.19,6.27,3.91,SI1,H,Ideal
5223,1.06,Tel Aviv,62.2,55.0,6.51,6.54,4.06,SI2,E,Ideal
5226,1.21,New York City,62.1,57.0,6.8,6.85,4.24,SI2,G,Ideal
4168,0.92,Amsterdam,62.4,60.0,6.21,6.25,3.89,SI2,D,Very Good
18561,2.01,Zurich,57.8,60.0,8.29,8.35,4.81,VS2,H,Good
18358,1.83,Luxembourg,60.5,59.0,7.89,7.99,4.8,VS2,G,Very Good
933,0.38,Madrid,62.4,59.0,4.57,4.63,2.87,VS1,F,Premium
445,0.23,Antwerp,61.3,59.0,3.94,3.99,2.43,VVS2,F,Premium
3610,0.92,Surat,62.1,55.0,6.24,6.29,3.89,SI1,I,Ideal
12069,1.5,Antwerp,62.4,58.0,7.27,7.31,4.55,SI1,D,Premium
645,0.32,Madrid,62.1,55.0,4.41,4.44,2.75,VS1,G,Very Good
4372,1.0,New York City,61.2,57.0,6.39,6.48,3.94,SI2,F,Ideal
1350,0.52,Paris,58.7,64.0,5.24,5.26,3.08,SI2,F,Good
14998,2.01,Paris,62.5,53.9,8.04,8.07,5.04,SI2,H,Ideal
565,0.31,Surat,62.2,55.0,4.32,4.36,2.7,VVS2,G,Ideal
2086,0.77,Las Vegas,61.0,59.0,5.94,5.99,3.64,SI1,J,Very Good
4537,1.13,London,59.8,59.0,6.75,6.82,4.06,SI2,H,Very Good
16957,2.07,Paris,61.2,58.0,8.24,8.19,5.03,SI1,E,Premium
2443,0.71,Kimberly,60.3,59.0,5.79,5.76,3.48,VS2,G,Premium
7275,1.11,Kimberly,60.4,58.0,6.73,6.66,4.04,VS2,F,Ideal
457,0.34,Amsterdam,61.6,56.0,4.47,4.51,2.76,VS2,I,Very Good
3215,0.96,Amsterdam,62.7,60.0,6.29,6.11,3.89,SI2,G,Premium
942,0.31,New York City,62.3,55.0,4.35,4.32,2.7,VS2,D,Premium
2060,0.64,Las Vegas,60.4,62.0,5.54,5.58,3.36,VS1,G,Very Good
7882,1.01,Kimberly,62.5,58.0,6.41,6.35,3.99,VVS1,F,Premium
706,0.35,Antwerp,62.5,57.0,4.48,4.54,2.82,VVS2,H,Ideal
2373,0.7,Kimberly,62.5,60.0,5.66,5.61,3.52,SI2,F,Premium
3137,0.71,Antwerp,61.1,56.0,5.78,5.81,3.53,VVS1,H,Ideal
871,0.31,Dubai,61.1,57.0,4.38,4.42,2.68,IF,G,Ideal
9072,2.25,Kimberly,61.4,54.0,8.52,8.46,5.21,I1,E,Ideal
5088,1.18,Las Vegas,62.8,56.0,6.74,6.71,4.22,SI1,I,Premium
6409,1.22,Tel Aviv,63.2,58.0,6.82,6.76,4.29,SI2,G,Very Good
12830,1.72,Surat,62.8,57.0,7.65,7.58,4.78,VS2,G,Ideal
18394,2.01,Las Vegas,61.7,56.0,8.12,8.16,5.02,SI2,F,Ideal
5581,1.03,Surat,60.1,60.0,6.55,6.52,3.93,SI1,G,Premium
5379,1.01,Amsterdam,64.3,59.0,6.23,6.28,4.02,SI1,E,Good
5242,1.0,Paris,64.6,59.0,6.3,6.26,4.06,VS1,H,Fair
608,0.3,Surat,63.5,59.0,4.27,4.2,2.69,VS2,H,Very Good
1930,0.56,New York City,61.3,55.0,5.29,5.32,3.25,VS1,E,Ideal
3936,0.9,Amsterdam,61.7,62.0,6.19,6.13,3.8,SI1,F,Premium
1732,0.57,Madrid,60.7,58.0,5.37,5.33,3.25,VS2,E,Very Good
2328,0.72,Luxembourg,61.2,57.0,5.76,5.8,3.54,SI2,D,Ideal
3511,1.0,Kimberly,65.5,57.0,6.26,6.21,4.08,SI1,H,Fair
1043,0.4,Zurich,62.1,53.0,4.75,4.79,2.96,VVS1,G,Ideal
4831,1.22,Amsterdam,62.3,58.0,6.8,6.85,4.25,SI2,I,Premium
8955,1.02,Madrid,62.3,57.0,6.43,6.5,4.03,IF,G,Ideal
5625,1.08,New York City,61.8,56.0,6.59,6.55,4.06,VS2,H,Ideal
1052,0.33,Kimberly,60.8,58.0,4.46,4.42,2.7,IF,G,Premium
1167,0.42,Amsterdam,59.8,56.0,4.9,4.92,2.94,VVS2,E,Very Good
2088,0.58,London,62.1,56.0,5.38,5.32,3.32,VS1,F,Ideal
4964,1.02,London,63.6,58.0,6.34,6.39,4.05,SI1,G,Good
6937,1.19,Paris,57.4,60.0,6.9,7.0,3.99,VS2,E,Good
4915,1.15,Luxembourg,63.1,63.0,6.67,6.57,4.18,SI2,F,Very Good
2853,0.79,Amsterdam,60.0,60.0,6.07,6.03,3.63,SI2,D,Premium
842,0.32,Amsterdam,62.9,59.0,4.39,4.36,2.75,VS2,D,Premium
749,0.31,Tel Aviv,61.6,56.0,4.38,4.35,2.69,VS2,F,Ideal
1813,0.54,Kimberly,61.0,58.0,5.24,5.25,3.2,VS1,F,Very Good
1627,0.5,Kimberly,62.8,60.0,5.02,5.08,3.17,VS2,D,Very Good
5447,1.04,Paris,60.9,58.0,6.5,6.6,3.99,VS2,H,Very Good
10581,1.41,Las Vegas,60.8,55.0,7.27,7.2,4.4,VS2,G,Ideal
499,0.3,Tel Aviv,61.6,54.0,4.32,4.35,2.67,SI1,E,Ideal
610,0.33,Antwerp,61.6,55.0,4.46,4.48,2.75,VS1,H,Ideal
372,0.31,Kimberly,62.0,54.1,4.32,4.35,2.69,SI2,I,Ideal
3344,0.91,Antwerp,64.3,60.0,6.04,6.12,3.91,SI1,G,Good
2083,0.75,Tel Aviv,62.4,56.0,5.78,5.82,3.62,SI1,J,Very Good
886,0.3,Surat,62.1,57.0,4.26,4.3,2.66,IF,F,Very Good
1582,0.41,Luxembourg,60.6,57.0,4.82,4.79,2.91,VVS1,D,Ideal
3083,1.01,Surat,59.4,62.0,6.47,6.43,3.83,SI2,H,Premium
7657,1.02,Tel Aviv,63.0,58.0,6.4,6.43,4.04,VVS1,G,Very Good
527,0.27,Las Vegas,62.3,53.0,4.16,4.19,2.6,VS1,G,Ideal
2196,0.7,Madrid,62.6,56.0,5.66,5.72,3.56,SI1,F,Very Good
9297,1.51,Surat,62.3,57.0,7.28,7.37,4.56,VS2,I,Ideal
13703,2.22,Madrid,62.8,57.0,8.33,8.29,5.22,SI2,J,Ideal
3795,0.9,London,63.9,57.0,6.12,6.08,3.9,SI1,E,Good
2882,0.88,Madrid,56.6,65.0,6.39,6.32,3.6,SI1,F,Fair
2208,0.7,Paris,58.6,56.0,5.8,5.74,3.38,SI2,G,Fair
558,0.31,Zurich,62.7,58.0,4.34,4.31,2.71,SI1,H,Premium
6371,1.25,Amsterdam,61.1,55.0,6.95,6.99,4.26,SI2,G,Ideal
487,0.28,London,59.5,59.0,4.29,4.35,2.57,VS1,E,Very Good
1232,0.52,Surat,61.9,58.0,5.14,5.17,3.19,VS2,I,Ideal
2153,0.52,Zurich,59.2,58.0,5.31,5.28,3.14,VVS1,G,Premium
447,0.3,Kimberly,63.3,57.0,4.26,4.3,2.71,SI2,D,Good
14749,1.82,Kimberly,61.6,60.0,7.78,7.74,4.78,VS2,H,Premium
12207,1.37,New York City,62.3,55.5,7.05,7.14,4.43,VVS2,G,Ideal
4095,1.0,Luxembourg,62.7,59.0,6.3,6.36,3.97,SI2,G,Premium
5722,1.2,Kimberly,61.1,57.0,6.83,6.86,4.18,SI2,G,Ideal
7964,1.01,Antwerp,62.0,59.0,6.42,6.38,3.97,VS1,E,Premium
1035,0.5,London,61.7,58.0,5.07,5.11,3.14,SI1,H,Ideal
7744,1.0,Surat,60.4,59.0,6.51,6.54,3.94,VS1,E,Premium
1061,0.31,Las Vegas,61.4,56.0,4.38,4.41,2.7,IF,F,Ideal
845,0.4,Amsterdam,63.3,58.0,4.63,4.66,2.94,VS2,D,Very Good
2964,1.05,Amsterdam,61.4,58.0,6.53,6.46,3.99,I1,E,Premium
5821,1.05,Las Vegas,61.9,59.0,6.56,6.52,4.05,VS2,G,Premium
6028,1.0,Luxembourg,63.9,55.0,6.34,6.28,4.03,VS1,G,Good
658,0.3,Paris,62.4,57.0,4.24,4.26,2.65,VS2,E,Very Good
7492,1.0,Kimberly,60.9,56.0,6.49,6.52,3.96,VVS2,G,Good
462,0.31,Surat,63.0,56.0,4.3,4.34,2.72,SI1,G,Very Good
1646,0.6,London,61.5,58.0,5.38,5.41,3.32,SI1,F,Ideal
710,0.3,Kimberly,62.6,61.0,4.22,4.25,2.65,VS2,D,Very Good
1230,0.41,Surat,62.1,55.0,4.79,4.74,2.96,VVS1,G,Ideal
621,0.33,Antwerp,60.3,58.0,4.5,4.52,2.72,VS1,G,Premium
2895,0.7,London,61.8,59.0,5.66,5.76,3.53,VS1,F,Very Good
707,0.28,Las Vegas,62.1,57.0,4.17,4.21,2.6,VVS1,E,Very Good
1995,0.7,Antwerp,63.3,55.0,5.64,5.6,3.56,VS1,I,Very Good
5622,1.0,Kimberly,61.0,57.0,6.47,6.44,3.94,SI1,G,Ideal
3634,1.0,Zurich,43.0,59.0,6.32,6.27,3.97,SI1,G,Fair
4844,1.0,Surat,62.6,59.0,6.29,6.33,3.95,SI1,G,Very Good
4177,1.03,Dubai,57.6,58.0,6.6,6.67,3.82,SI2,D,Good
576,0.25,Luxembourg,62.0,59.0,3.99,4.04,2.49,VVS2,F,Very Good
5347,1.1,Kimberly,60.5,57.0,6.73,6.7,4.06,VS2,H,Ideal
10144,1.1,Dubai,61.9,56.0,6.58,6.61,4.09,VS1,D,Ideal
2351,0.73,Luxembourg,60.5,57.0,5.84,5.8,3.52,SI2,F,Premium
2487,0.71,Surat,60.3,59.0,5.75,5.79,3.48,VS1,H,Ideal
4407,0.7,Kimberly,61.0,61.0,5.69,5.72,3.48,VVS1,D,Good
12255,1.33,Antwerp,62.2,54.0,7.02,7.06,4.38,VVS1,G,Ideal
5506,1.15,Antwerp,62.0,58.0,6.77,6.66,4.16,SI1,H,Premium
2896,0.53,Zurich,61.6,56.0,5.18,5.24,3.21,VVS1,F,Ideal
8693,1.05,New York City,61.3,59.0,6.56,6.48,4.0,VVS2,F,Premium
1608,0.57,Paris,59.7,59.0,5.37,5.41,3.22,VS2,G,Premium
3638,0.91,Surat,60.3,59.0,6.28,6.25,3.78,SI2,E,Very Good
8693,1.2,Kimberly,61.6,60.0,6.78,6.72,4.16,VS2,D,Premium
5161,1.05,Zurich,59.3,58.0,6.65,6.61,3.93,SI1,H,Premium
641,0.34,Kimberly,62.2,55.0,4.47,4.5,2.79,VS2,F,Ideal
5439,1.19,Antwerp,61.7,57.0,6.84,6.77,4.2,VS2,I,Premium
942,0.53,Paris,63.6,58.0,5.08,5.11,3.24,SI2,I,Good
9625,1.11,Amsterdam,61.0,57.0,6.65,6.7,4.08,VS2,E,Ideal
918,0.32,New York City,61.1,57.0,4.41,4.43,2.7,IF,G,Ideal
807,0.36,Antwerp,61.5,55.0,4.6,4.57,2.82,VS2,F,Ideal
4454,1.03,Madrid,61.8,56.0,6.49,6.46,4.0,SI2,F,Ideal
668,0.33,London,59.5,60.0,4.54,4.5,2.69,VS1,I,Premium
2956,0.7,Paris,62.4,57.0,5.67,5.71,3.55,VS2,F,Very Good
900,0.32,London,62.0,55.0,4.46,4.38,2.74,VS2,E,Ideal
17476,2.01,Antwerp,60.1,60.0,8.25,8.2,4.94,SI1,H,Very Good
645,0.32,Las Vegas,61.2,56.0,4.39,4.43,2.7,VS1,G,Ideal
3246,0.9,London,64.1,56.0,6.12,6.08,3.91,SI2,G,Good
7781,1.08,Tel Aviv,61.0,57.0,6.61,6.68,4.06,VS2,F,Ideal
907,0.31,Las Vegas,61.8,57.0,4.35,4.32,2.68,VVS1,H,Ideal
5241,1.02,Antwerp,61.8,58.0,6.49,6.43,3.99,VS2,H,Premium
984,0.35,Surat,61.6,55.0,4.54,4.49,2.78,VS2,E,Ideal
586,0.32,Dubai,60.9,55.0,4.46,4.53,2.72,SI1,F,Ideal
1668,0.55,Kimberly,61.4,55.0,5.29,5.26,3.24,SI1,E,Ideal
2211,0.58,Kimberly,61.6,57.0,5.34,5.37,3.3,IF,H,Ideal
3380,0.7,Zurich,58.5,62.0,5.8,5.82,3.4,VVS1,G,Good
1401,0.52,Paris,61.3,55.0,5.2,5.24,3.2,VS2,H,Ideal
764,0.3,Las Vegas,62.7,54.0,4.3,4.34,2.71,VVS1,G,Ideal
3041,0.71,New York City,61.7,55.0,5.73,5.77,3.55,VS1,F,Ideal
917,0.4,Kimberly,62.6,53.0,4.72,4.77,2.97,VVS2,G,Ideal
14256,1.5,London,62.1,60.0,7.27,7.31,4.53,VS2,E,Very Good
6058,1.02,Kimberly,63.2,57.0,6.38,6.41,4.04,VS2,G,Good
5529,1.21,Luxembourg,60.3,58.0,6.96,6.9,4.18,SI2,G,Premium
2487,0.7,Kimberly,62.7,54.0,5.65,5.69,3.55,VVS2,I,Ideal
1443,0.51,Kimberly,61.3,59.0,5.17,5.11,3.15,VS2,G,Premium
16921,1.54,Antwerp,62.7,59.0,7.33,7.29,4.58,VS2,D,Premium
792,0.43,Madrid,61.6,59.0,4.83,4.87,2.99,SI1,F,Very Good
780,0.33,Tel Aviv,61.9,60.0,4.44,4.41,2.74,VVS1,I,Premium
3972,0.9,London,62.4,61.0,6.05,6.09,3.79,VVS1,I,Good
871,0.31,Tel Aviv,61.9,56.0,4.33,4.35,2.68,IF,G,Ideal
11650,1.54,Tel Aviv,58.8,60.0,7.54,7.59,4.45,SI1,F,Very Good
2054,0.62,Dubai,61.7,54.0,5.53,5.49,3.4,SI1,E,Ideal
4304,0.9,Antwerp,63.5,57.0,6.15,6.11,3.89,SI1,D,Very Good
651,0.36,Dubai,61.5,55.0,4.59,4.62,2.83,VS1,H,Ideal
1114,0.3,Madrid,62.1,55.0,4.32,4.31,2.68,VVS1,F,Ideal
10255,1.7,Antwerp,60.8,56.0,7.67,7.72,4.68,SI2,H,Very Good
3226,0.9,Kimberly,65.5,57.0,6.05,6.01,3.95,VS2,H,Fair
1002,0.33,Tel Aviv,62.7,57.0,4.45,4.38,2.77,VS1,E,Ideal
10688,1.51,Paris,62.4,62.0,7.25,7.12,4.48,SI1,G,Premium
3752,1.0,Surat,61.0,59.0,6.4,6.33,3.89,SI2,E,Premium
4316,1.04,Zurich,63.1,58.0,6.43,6.37,4.04,SI1,H,Very Good
8870,1.21,Dubai,60.1,55.0,7.01,6.91,4.18,VS2,F,Premium
2946,0.72,Madrid,62.5,57.0,5.7,5.73,3.57,VVS1,H,Ideal
4883,1.17,Dubai,62.3,55.0,6.74,6.77,4.21,SI1,J,Ideal
598,0.28,Amsterdam,62.0,57.0,4.19,4.23,2.61,VS1,F,Ideal
1813,0.53,Surat,62.4,56.0,5.2,5.16,3.23,VS2,E,Ideal
3276,1.0,London,60.8,63.0,6.41,6.34,3.88,SI2,I,Very Good
1294,0.46,London,62.0,58.0,4.95,4.98,3.08,VS1,E,Premium
803,0.34,Surat,60.6,56.0,4.54,4.51,2.74,SI1,D,Ideal
658,0.3,Surat,62.9,58.0,4.22,4.24,2.66,VS2,E,Very Good
6666,1.01,Tel Aviv,60.4,58.0,6.47,6.51,3.92,VS2,E,Very Good
6738,1.26,Antwerp,59.6,57.0,7.08,7.04,4.21,SI1,G,Ideal
819,0.36,Surat,61.6,56.0,4.62,4.64,2.85,VS1,F,Ideal
12257,2.01,Kimberly,63.6,59.0,7.96,8.01,5.08,SI1,J,Good
663,0.42,New York City,60.9,57.0,4.83,4.86,2.95,VS1,J,Ideal
3423,0.91,Las Vegas,61.3,60.0,6.17,6.2,3.79,SI2,G,Premium
2096,0.51,Surat,62.4,54.0,5.12,5.17,3.21,IF,G,Ideal
758,0.32,New York City,62.5,57.0,4.34,4.39,2.73,VS2,D,Very Good
15278,1.77,Las Vegas,61.6,58.0,7.78,7.71,4.77,VS2,E,Premium
737,0.3,Dubai,61.6,58.0,4.28,4.35,2.66,VVS2,F,Premium
7915,1.51,London,63.2,59.0,7.25,7.18,4.56,SI2,D,Very Good
5206,1.01,Amsterdam,61.6,57.0,6.44,6.49,3.98,SI1,E,Ideal
2813,0.91,Dubai,59.8,58.0,6.3,6.29,3.77,SI2,G,Premium
2862,0.7,Zurich,62.5,55.0,5.67,5.72,3.56,SI1,D,Very Good
571,0.31,Luxembourg,62.3,54.0,4.33,4.37,2.71,SI1,D,Ideal
2858,0.71,Antwerp,61.5,60.0,5.76,5.68,3.52,VS2,E,Premium
7308,1.5,Zurich,63.6,58.0,7.23,7.2,4.59,VS2,J,Good
565,0.31,Las Vegas,61.3,56.0,4.36,4.41,2.69,SI1,D,Ideal
846,0.31,Paris,61.6,57.0,4.35,4.32,2.67,VVS1,H,Ideal
5485,1.06,Luxembourg,60.8,58.0,6.59,6.54,3.99,SI1,E,Premium
716,0.32,Tel Aviv,61.0,54.0,4.42,4.44,2.7,VS1,F,Ideal
5077,1.01,Kimberly,63.3,58.0,6.39,6.37,4.04,SI1,E,Very Good
3126,0.57,Dubai,61.6,56.0,5.33,5.35,3.29,VVS1,D,Ideal
4400,0.9,Surat,63.4,58.0,6.07,6.11,3.86,VS2,F,Very Good
1298,0.46,Madrid,62.4,56.0,4.98,4.95,3.1,VS2,D,Ideal
4592,0.9,Kimberly,62.3,59.0,6.12,6.17,3.83,VS1,H,Very Good
14236,1.36,Tel Aviv,62.6,58.0,7.06,7.21,4.47,VVS2,D,Very Good
6036,1.16,Madrid,62.2,54.0,6.72,6.75,4.19,SI1,H,Ideal
904,0.43,New York City,61.5,56.0,4.85,4.89,2.99,VS2,F,Ideal
3294,1.01,Antwerp,64.6,59.0,6.22,6.18,4.01,SI2,E,Fair
4508,0.9,London,63.3,59.0,6.03,6.07,3.83,VS1,F,Good
2376,0.71,New York City,61.4,56.0,5.73,5.77,3.53,SI1,I,Ideal
1095,0.32,London,62.6,55.0,4.38,4.41,2.75,IF,E,Ideal
967,0.38,Madrid,59.1,58.0,4.71,4.76,2.8,VVS1,H,Very Good
3669,0.9,Zurich,63.7,60.0,6.11,6.07,3.88,SI1,G,Good
878,0.41,Kimberly,61.9,55.0,4.82,4.78,2.97,VS1,I,Ideal
1914,0.7,Luxembourg,61.8,62.0,5.69,5.64,3.5,SI1,I,Premium
5646,1.01,Tel Aviv,62.3,58.0,6.35,6.42,3.98,SI1,F,Ideal
9414,1.7,Luxembourg,62.5,57.0,7.6,7.63,4.76,VS2,J,Ideal
1244,0.52,Dubai,63.3,57.0,5.08,5.11,3.22,SI1,G,Good
1059,0.4,London,58.5,60.0,4.82,4.86,2.83,VVS2,E,Good
5624,1.21,Kimberly,62.6,56.0,6.84,6.77,4.26,SI2,H,Ideal
3481,0.9,Zurich,62.3,61.0,6.15,6.17,3.84,SI2,H,Very Good
3003,0.65,Dubai,59.9,58.0,5.69,5.63,3.39,VVS2,D,Premium
3853,1.01,London,58.8,57.0,6.57,6.63,3.88,SI1,J,Good
3332,0.92,Las Vegas,62.4,56.0,6.23,6.19,3.88,VS1,J,Ideal
1052,0.33,Paris,61.7,55.0,4.47,4.45,2.75,IF,G,Ideal
1593,0.51,Zurich,61.1,55.0,5.22,5.16,3.17,SI1,F,Ideal
9039,1.04,Tel Aviv,61.3,58.0,6.52,6.43,3.97,IF,G,Premium
4340,1.07,Dubai,64.6,60.0,6.35,6.4,4.12,SI2,G,Very Good
2456,0.71,Paris,63.5,57.0,5.65,5.68,3.6,VVS1,I,Very Good
3454,0.78,Antwerp,61.4,57.0,5.91,5.94,3.64,SI2,D,Ideal
4133,0.9,New York City,61.9,55.0,6.22,6.19,3.84,VS2,H,Ideal
3153,0.92,Dubai,62.0,64.0,6.2,6.16,3.83,SI2,E,Good
1218,0.43,Amsterdam,61.8,55.0,4.88,4.9,3.02,VS1,I,Ideal
2693,0.7,Dubai,62.5,55.0,5.73,5.7,3.57,VS2,E,Ideal
842,0.32,London,61.5,58.0,4.36,4.42,2.7,VVS2,E,Premium
1733,0.46,New York City,62.1,56.0,4.96,4.93,3.07,IF,G,Ideal
665,0.3,Antwerp,61.8,57.0,4.29,4.32,2.66,VVS2,G,Ideal
832,0.38,Paris,62.2,54.6,4.62,4.66,2.89,VVS2,H,Ideal
18115,2.04,Madrid,62.5,61.0,8.08,8.04,5.04,SI1,H,Premium
1244,0.47,Tel Aviv,60.3,61.0,5.05,5.04,3.04,VS1,H,Premium
1857,0.53,London,61.7,55.0,5.21,5.23,3.22,VS2,D,Ideal
2863,0.71,New York City,61.0,55.0,5.79,5.75,3.52,VS2,E,Ideal
709,0.45,Dubai,61.9,54.0,4.91,4.95,3.05,SI2,G,Ideal
4368,1.04,Paris,61.8,60.0,6.51,6.47,4.01,SI1,I,Premium
4370,1.02,Paris,62.5,59.0,6.42,6.37,4.0,SI2,G,Premium
1153,0.41,Antwerp,60.6,59.0,4.8,4.77,2.9,VS1,E,Premium
1333,0.4,Zurich,62.4,57.0,4.67,4.72,2.93,VVS1,E,Ideal
1828,0.7,London,70.6,56.0,5.45,5.35,3.81,SI2,E,Fair
6777,1.08,Surat,60.6,58.0,6.65,6.71,4.05,VS2,G,Very Good
625,0.31,Paris,62.9,56.0,4.3,4.32,2.71,VS2,F,Very Good
1141,0.64,Luxembourg,64.7,54.0,5.39,5.43,3.5,SI2,J,Good
552,0.3,London,59.7,59.0,4.34,4.37,2.6,SI1,D,Premium
876,0.41,Madrid,62.3,58.0,4.77,4.74,2.96,SI2,D,Premium
2624,0.76,Las Vegas,60.3,60.0,5.86,5.89,3.54,SI2,F,Ideal
1235,0.44,Kimberly,60.9,59.0,4.9,4.96,3.0,VVS1,G,Premium
779,0.3,Amsterdam,62.2,54.4,4.3,4.32,2.68,VVS2,E,Ideal
920,0.38,Paris,61.4,56.0,4.66,4.69,2.87,VS1,E,Ideal
1397,0.4,Dubai,62.8,57.0,4.71,4.65,2.94,VVS1,E,Ideal
936,0.32,Paris,61.6,55.0,4.42,4.41,2.72,VVS2,G,Ideal
12738,1.51,Dubai,59.5,57.0,7.56,7.46,4.47,SI1,D,Ideal
5040,1.2,Kimberly,61.8,55.0,6.81,6.76,4.19,VS1,J,Ideal
